id,app,file,mse,config
4,genome,genome_64_4.csv,88.6285416779833,new
5,genome,genome_64_5.csv,56.8899712333733,new
6,genome,genome_64_6.csv,64.4660840920579,new
7,genome,genome_64_7.csv,92.2438812218267,new
8,genome,genome_64_8.csv,95.5108930139611,new
9,genome,genome_64_9.csv,91.0053672256655,new
10,genome,genome_64.csv,0,new
1,intruder,intruder_64_1.csv,335.007208343408,new
2,intruder,intruder_64_2.csv,354.43392392886,new
3,intruder,intruder_64_3.csv,316.664045809677,new
4,intruder,intruder_64_4.csv,303.613671929784,new
5,intruder,intruder_64_5.csv,316.378841742167,new
6,intruder,intruder_64_6.csv,348.247483107841,new
7,intruder,intruder_64_7.csv,263.176609653683,new
8,intruder,intruder_64_8.csv,317.083845048377,new
9,intruder,intruder_64_9.csv,276.84304753534,new
10,intruder,intruder_64.csv,0,new
1,kmeans,kmeans_64_1.csv,307.611668350495,new
2,kmeans,kmeans_64_2.csv,336.526066794525,new
3,kmeans,kmeans_64_3.csv,328.821332564444,new
4,kmeans,kmeans_64_4.csv,360.443186932368,new
5,kmeans,kmeans_64_5.csv,319.056692099158,new
6,kmeans,kmeans_64_6.csv,322.730189417142,new
7,kmeans,kmeans_64_7.csv,321.82497884499,new
8,kmeans,kmeans_64_8.csv,369.505289844602,new
9,kmeans,kmeans_64_9.csv,323.320462856483,new
10,kmeans,kmeans_64.csv,0,new
1,labyrinth,labyrinth_64_1.csv,97.0221179309947,new
2,labyrinth,labyrinth_64_2.csv,38.6544071325389,new
3,labyrinth,labyrinth_64_3.csv,62.3656972953383,new
4,labyrinth,labyrinth_64_4.csv,54.4472471473169,new
5,labyrinth,labyrinth_64_5.csv,52.0395870932529,new
6,labyrinth,labyrinth_64_6.csv,67.7179801613571,new
7,labyrinth,labyrinth_64_7.csv,49.4077260310653,new
8,labyrinth,labyrinth_64_8.csv,54.1217063586788,new
9,labyrinth,labyrinth_64_9.csv,46.6400903451323,new
10,labyrinth,labyrinth_64.csv,0,new
1,ssca2,ssca2_64_1.csv,699.856161689088,new
2,ssca2,ssca2_64_2.csv,736.643107128414,new
3,ssca2,ssca2_64_3.csv,855.568165629097,new
4,ssca2,ssca2_64_4.csv,990.160926178681,new
5,ssca2,ssca2_64_5.csv,725.820465414855,new
6,ssca2,ssca2_64_6.csv,936.567354772922,new
7,ssca2,ssca2_64_7.csv,689.052815055071,new
8,ssca2,ssca2_64_8.csv,1603.50915283836,new
9,ssca2,ssca2_64_9.csv,599.433232768778,new
10,ssca2,ssca2_64.csv,0,new
1,vacation,vacation_64_1.csv,731.468355195219,new
2,vacation,vacation_64_2.csv,185.275570690013,new
3,vacation,vacation_64_3.csv,213.057915485229,new
4,vacation,vacation_64_4.csv,347.85878126853,new
5,vacation,vacation_64_5.csv,207.743601578206,new
6,vacation,vacation_64_6.csv,231.944057997595,new
7,vacation,vacation_64_7.csv,211.954349283852,new
8,vacation,vacation_64_8.csv,328.760379841166,new
9,vacation,vacation_64_9.csv,414.746392474248,new
10,vacation,vacation_64.csv,0,new
1,yada,yada_64_1.csv,100.562669683374,new
2,yada,yada_64_2.csv,134.492083029767,new
3,yada,yada_64_3.csv,89.8167469190947,new
4,yada,yada_64_4.csv,145.001487749571,new
5,yada,yada_64_5.csv,241.33897912235,new
6,yada,yada_64_6.csv,199.594283943091,new
7,yada,yada_64_7.csv,95.002922050986,new
8,yada,yada_64_8.csv,192.487452898831,new
9,yada,yada_64_9.csv,269.268119541017,new
10,yada,yada_64.csv,0,new
